symbol,timestamp,open,high,low,close,volume
AAPL,2025-01-02 14:30:00+00:00,248.92999267578125,249.10000610351562,244.8000030517578,245.73989868164062,13501229
SPY,2025-01-02 14:30:00+00:00,589.3900146484375,591.1300048828125,586.1900024414062,587.8300170898438,10951663
TSLA,2025-01-02 14:30:00+00:00,390.6596984863281,392.7298889160156,373.4100036621094,380.33660888671875,42082406
AAPL,2025-01-02 15:30:00+00:00,245.6300048828125,245.8800048828125,244.16009521484375,244.89500427246094,6830782
SPY,2025-01-02 15:30:00+00:00,587.8099975585938,588.780029296875,585.3699951171875,587.5300903320312,5105750
TSLA,2025-01-02 15:30:00+00:00,380.2699890136719,382.7239990234375,376.25,382.5249938964844,15683322
AAPL,2025-01-02 16:30:00+00:00,244.90989685058594,245.25,243.32000732421875,243.42860412597656,4384552
SPY,2025-01-02 16:30:00+00:00,587.469970703125,588.77001953125,584.2100219726562,584.489990234375,3517777
TSLA,2025-01-02 16:30:00+00:00,382.489990234375,386.1499938964844,378.3500061035156,378.67999267578125,9901739
AAPL,2025-01-02 17:30:00+00:00,243.41000366210938,243.41000366210938,242.30999755859375,242.6862030029297,6464462
SPY,2025-01-02 17:30:00+00:00,584.469970703125,584.4733276367188,580.9400024414062,582.3599853515625,8459871
TSLA,2025-01-02 17:30:00+00:00,378.6752014160156,379.05999755859375,373.04998779296875,377.7099914550781,12269777
SPY,2025-01-02 18:30:00+00:00,582.3250122070312,583.5050048828125,580.5,583.280029296875,6223597
TSLA,2025-01-02 18:30:00+00:00,377.6199951171875,380.32989501953125,374.8699951171875,377.227294921875,8053698
AAPL,2025-01-02 18:30:00+00:00,242.6699981689453,242.83999633789062,241.82009887695312,242.4884033203125,5547977
TSLA,2025-01-02 19:30:00+00:00,377.3399963378906,380.1400146484375,375.989990234375,379.55499267578125,6878141
AAPL,2025-01-02 19:30:00+00:00,242.47999572753906,243.44000244140625,241.87130737304688,243.23109436035156,5106418
SPY,2025-01-02 19:30:00+00:00,583.2650146484375,584.8099975585938,582.02001953125,584.469970703125,4679389
TSLA,2025-01-02 20:30:00+00:00,379.614990234375,381.2432861328125,376.8800048828125,379.0299987792969,7405633
AAPL,2025-01-02 20:30:00+00:00,243.25,243.9499969482422,243.01019287109375,243.82000732421875,6167957
SPY,2025-01-02 20:30:00+00:00,584.47998046875,585.3699951171875,583.5501708984375,584.5700073242188,5791461
TSLA,2025-01-03 14:30:00+00:00,381.6549987792969,389.95001220703125,379.45001220703125,384.7817077636719,24376852
SPY,2025-01-03 14:30:00+00:00,587.530029296875,589.5449829101562,586.4299926757812,588.219970703125,9304664
AAPL,2025-01-03 14:30:00+00:00,243.3699951171875,244.17999267578125,241.88999938964844,242.4597930908203,9135529
SPY,2025-01-03 15:30:00+00:00,588.239990234375,589.8499755859375,587.5499877929688,589.6300048828125,3540939
TSLA,2025-01-03 15:30:00+00:00,384.8399963378906,396.25,383.4700012207031,396.0,12176792
AAPL,2025-01-03 15:30:00+00:00,242.4499969482422,243.67559814453125,242.13999938964844,243.49000549316406,4968036
SPY,2025-01-03 16:30:00+00:00,589.5999755859375,591.010009765625,589.5549926757812,590.14501953125,3213495
TSLA,2025-01-03 16:30:00+00:00,395.8999938964844,396.94970703125,393.3299865722656,393.934814453125,9628204
AAPL,2025-01-03 16:30:00+00:00,243.47999572753906,244.04859924316406,242.6699981689453,242.7707061767578,3673389
SPY,2025-01-03 17:30:00+00:00,590.1500244140625,591.5,589.9000244140625,591.4949951171875,3211923
TSLA,2025-01-03 17:30:00+00:00,394.0,399.7699890136719,393.8299865722656,398.9849853515625,7634438
AAPL,2025-01-03 17:30:00+00:00,242.77999877929688,243.16000366210938,242.27999877929688,243.00999450683594,3313371
TSLA,2025-01-03 18:30:00+00:00,398.9200134277344,406.5400085449219,397.7300109863281,404.8699951171875,12242793
AAPL,2025-01-03 18:30:00+00:00,243.0,243.05999755859375,242.57000732421875,242.6699981689453,3130427
SPY,2025-01-03 18:30:00+00:00,591.5,592.2000122070312,591.0499877929688,592.0999755859375,3161826
AAPL,2025-01-03 19:30:00+00:00,242.66000366210938,243.44239807128906,242.63999938964844,242.85000610351562,3007142
SPY,2025-01-03 19:30:00+00:00,592.0800170898438,592.5999755859375,591.4299926757812,591.9299926757812,3775669
TSLA,2025-01-03 19:30:00+00:00,404.9599914550781,409.69000244140625,403.8999938964844,408.6300048828125,10659058
AAPL,2025-01-03 20:30:00+00:00,242.83999633789062,243.60000610351562,242.61000061035156,243.3000030517578,4394832
SPY,2025-01-03 20:30:00+00:00,591.9299926757812,592.2100219726562,591.0499877929688,591.8599853515625,7074389
TSLA,2025-01-03 20:30:00+00:00,408.55999755859375,411.8799133300781,407.92010498046875,410.7699890136719,8961596
SPY,2025-01-06 14:30:00+00:00,596.27001953125,599.0,595.9000244140625,598.8900146484375,10454522
TSLA,2025-01-06 14:30:00+00:00,423.30999755859375,426.42999267578125,411.2001037597656,416.3399963378906,30530722
